brand,calcNutrition,description,gda,gtin,marketingText,pkgDimensions,productAttributes,productCharacteristics,qtyContents,storage,tpnb,tpnc
HAPPY EGG,,Happy Egg Co. Free Range Eggs 12 Medium,,05000326011099,,"[{'depth': 7.2, 'dimensionUom': 'cm', 'height': 11.0, 'no': 1, 'volume': 2336.4, 'volumeUom': 'cc', 'weight': 758.0, 'weightUom': 'g', 'width': 29.5}]",,"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Chilled'}","{'netContents': '12 x Eggs', 'numberOfUnits': '12', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH', 'unitType': 'Eggs'}",,085289862,300951446
HAPPY EGG,,Happy Egg Co Large Free Range Eggs 6 Pack,,00000050378289,,"[{'depth': 6.9, 'dimensionUom': 'cm', 'height': 10.1, 'no': 1, 'volume': 1052.319, 'volumeUom': 'cc', 'weight': 420.0, 'weightUom': 'g', 'width': 15.1}]",,"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '6 x Eggs', 'numberOfUnits': '6', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH', 'unitType': 'Eggs'}",,063696341,264328992
TESCO,"{'calcNutrients': [{'name': 'Energy (kJ)', 'valuePer100': '547', 'valuePerServing': '326'}, {'name': 'Energy (kcal)', 'valuePer100': '131', 'valuePerServing': '78'}, {'name': 'Fat (g)', 'valuePer100': '9', 'valuePerServing': '5.4'}, {'name': 'Saturates (g)', 'valuePer100': '2.5', 'valuePerServing': '1.5'}, {'name': 'Carbohydrate (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Sugars (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Fibre (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Protein (g)', 'valuePer100': '12.6', 'valuePerServing': '7.5'}, {'name': 'Salt (g)', 'valuePer100': '0.4', 'valuePerServing': '0.2'}], 'per100Header': 'Per 100g / Per 100ml', 'perServingHeader': 'A serving contains'}",Tesco Large Free Range Eggs 6 Pack,"{'gdaRefs': [{'footers': ['of the reference intake*', 'Typical values per 100g: Energy 547kJ / 131kcal'], 'gdaDescription': 'Guideline Amounts Per Serv', 'values': [{'name': 'Energy', 'percent': '4', 'values': ['326kJ', '78kcal']}, {'name': 'Fat', 'percent': '8', 'rating': 'medium', 'values': ['5.4g']}, {'name': 'Saturates', 'percent': '8', 'rating': 'medium', 'values': ['1.5g']}, {'name': 'Salt', 'percent': '3', 'rating': 'medium', 'values': ['0.2g']}]}]}",05018374888303,"From trusted British Farms. Our freshly laid eggs come from selected farms where hens are free to roam and forage on open pastures from dawn to dusk, and are safely housed in barn overnight
Carefully selected by farmers from free roaming hens.","[{'depth': 6.9, 'dimensionUom': 'cm', 'height': 11.0, 'no': 1, 'volume': 1161.27, 'volumeUom': 'cc', 'weight': 421.0, 'weightUom': 'g', 'width': 15.3}]",[],"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'drainedWeight': '-;-;-;-', 'netContents': '6 x Free Range Eggs', 'numberOfUnits': '6', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH', 'unitType': 'Free Range Eggs'}","['Consumer advice - to maintain freshness, keep refrigerated after purchase.']",052260948,250802567
TESCO,"{'calcNutrients': [{'name': 'Energy (kJ)', 'valuePer100': '547', 'valuePerServing': '277'}, {'name': 'Energy (kcal)', 'valuePer100': '131', 'valuePerServing': '67'}, {'name': 'Fat (g)', 'valuePer100': '9', 'valuePerServing': '4.6'}, {'name': 'Saturates (g)', 'valuePer100': '2.5', 'valuePerServing': '1.3'}, {'name': 'Carbohydrate (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Sugars (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Fibre (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Protein (g)', 'valuePer100': '12.6', 'valuePerServing': '6.4'}, {'name': 'Salt (g)', 'valuePer100': '0.4', 'valuePerServing': '0.2'}], 'per100Header': 'Per 100g / Per 100ml', 'perServingHeader': 'One typical medium egg (58g)'}",Tesco Medium Free Range Eggs 12 Pack,"{'gdaRefs': [{'footers': ['of the reference intake*', 'Typical values per 100g: Energy 547kJ / 131kcal'], 'gdaDescription': 'Guideline Amounts Per Serv', 'values': [{'name': 'Energy', 'percent': '3', 'values': ['277kJ', '67kcal']}, {'name': 'Fat', 'percent': '7', 'rating': 'medium', 'values': ['4.6g']}, {'name': 'Saturates', 'percent': '7', 'rating': 'medium', 'values': ['1.3g']}, {'name': 'Salt', 'percent': '3', 'rating': 'medium', 'values': ['0.2g']}]}]}",05051140150471,"From trusted British Farms. Our freshly laid eggs come from selected farms where hens are free to roam and forage on open pastures from dawn to dusk, and are safely housed in barn overnight
Carefully selected by farmers from free roaming hens.","[{'depth': 6.9, 'dimensionUom': 'cm', 'height': 10.8, 'no': 1, 'volume': 2213.244, 'volumeUom': 'cc', 'weight': 757.0, 'weightUom': 'g', 'width': 29.7}]",[],"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '12 x Eggs', 'numberOfUnits': '12', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH', 'unitType': 'Eggs'}","['Consumer advice - to maintain freshness, keep refrigerated after purchase.']",058999606,260298462
TESCO,"{'calcNutrients': [{'name': 'Energy (kJ)', 'valuePer100': '547', 'valuePerServing': '277'}, {'name': 'Energy (kcal)', 'valuePer100': '131', 'valuePerServing': '67'}, {'name': 'Fat (g)', 'valuePer100': '9', 'valuePerServing': '4.6'}, {'name': 'Saturates (g)', 'valuePer100': '2.5', 'valuePerServing': '1.3'}, {'name': 'Carbohydrate (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Sugars (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Fibre (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Protein (g)', 'valuePer100': '12.6', 'valuePerServing': '6.4'}, {'name': 'Salt (g)', 'valuePer100': '0.4', 'valuePerServing': '0.2'}], 'per100Header': 'Per 100g / Per 100ml', 'perServingHeader': 'A serving contains'}",Tesco Medium Free Range Eggs 6 Pack,"{'gdaRefs': [{'footers': ['of the reference intake*', 'Typical values per 100g: Energy 547kJ / 131kcal'], 'gdaDescription': 'Guideline Amounts Per Serv', 'values': [{'name': 'Energy', 'percent': '3', 'values': ['277kJ', '67kcal']}, {'name': 'Fat', 'percent': '7', 'rating': 'medium', 'values': ['4.6g']}, {'name': 'Saturates', 'percent': '7', 'rating': 'medium', 'values': ['1.3g']}, {'name': 'Salt', 'percent': '3', 'rating': 'medium', 'values': ['0.2g']}]}]}",00000003036501,"From trusted British Farms. Our freshly laid eggs come from selected farms where hens are free to roam and forage on open pastures from dawn to dusk, and are safely housed in barn overnight
Carefully selected by farmers from free roaming hens.","[{'depth': 10.2, 'dimensionUom': 'cm', 'height': 6.8, 'no': 1, 'volume': 1061.208, 'volumeUom': 'cc', 'weight': 401.0, 'weightUom': 'g', 'width': 15.3}]",[],"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '6 Medium 53 - 62.9g', 'numberOfUnits': '6', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH'}","['Consumer advice - to maintain freshness, keep refrigerated after purchase.']",052260983,250802613
HAPPY EGG,,Happy Egg Co. Free Range Eggs 10 Mixed Weight,,05000326010832,,"[{'depth': 6.9, 'dimensionUom': 'cm', 'height': 10.9, 'no': 1, 'volume': 1880.25, 'volumeUom': 'cc', 'weight': 628.0, 'weightUom': 'g', 'width': 25.0}]",,"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '10 x 497g', 'numberOfUnits': '10', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH'}",,082702479,295693390
TESCO,"{'calcNutrients': [{'name': 'Energy (kJ)', 'valuePer100': '547', 'valuePerServing': '257'}, {'name': 'Energy (kcal)', 'valuePer100': '131', 'valuePerServing': '62'}, {'name': 'Fat (g)', 'valuePer100': '9', 'valuePerServing': '4.2'}, {'name': 'Saturates (g)', 'valuePer100': '2.5', 'valuePerServing': '1.2'}, {'name': 'Carbohydrate (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Sugars (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Fibre (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Protein (g)', 'valuePer100': '12.6', 'valuePerServing': '5.9'}, {'name': 'Salt (g)', 'valuePer100': '0.4', 'valuePerServing': '0.2'}], 'per100Header': 'Per 100g / Per 100ml', 'perServingHeader': 'A serving contains'}",Tesco 6 Eggs,"{'gdaRefs': [{'footers': ['of the reference intake*', 'Typical values per 100g: Energy 547kJ / 131kcal'], 'gdaDescription': 'Guideline Amounts Per Serv', 'headers': ['One typical egg  '], 'values': [{'name': 'Energy', 'percent': '3', 'values': ['257kJ', '62kcal']}, {'name': 'Fat', 'percent': '6', 'rating': 'medium', 'values': ['4.2g']}, {'name': 'Saturates', 'percent': '6', 'rating': 'medium', 'values': ['1.2g']}, {'name': 'Salt', 'percent': '3', 'rating': 'medium', 'values': ['0.2g']}]}]}",05057545735770,"Eggs from caged hens living in carefully controlled conditions.
Class A Eggs From Caged Hens","[{'depth': 7.0, 'dimensionUom': 'cm', 'height': 10.1, 'no': 1, 'volume': 1039.29, 'volumeUom': 'cc', 'weight': 361.0, 'weightUom': 'g', 'width': 14.7}]",[],"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '6 Min Net Weight 328g', 'numberOfUnits': '6', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH'}","['To maintain freshness, keep refrigerated after purchase.']",084635601,299625707
Tesco,,Tesco Large Free Range Eggs 12 Pack,,05051140150457,,"[{'depth': 6.9, 'dimensionUom': 'cm', 'height': 10.7, 'no': 1, 'volume': 2177.985, 'volumeUom': 'cc', 'weight': 844.0, 'weightUom': 'g', 'width': 29.5}]",,"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '12 x Free Range Eggs', 'numberOfUnits': '12', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH', 'unitType': 'Free Range Eggs'}",,058999595,260298456
BIG & FRESH,,Big & Fresh Mixed Sized Eggs 10 Pack,,00000050326136,,"[{'depth': 10.8, 'dimensionUom': 'cm', 'height': 7.5, 'no': 1, 'volume': 2162.7, 'volumeUom': 'cc', 'weight': 765.0, 'weightUom': 'g', 'width': 26.7}]",,"{'containsLoperamide': False, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'numberOfUnits': '10', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH'}",,055723702,251744530
TESCO,"{'calcNutrients': [{'name': 'Energy (kJ)', 'valuePer100': '547', 'valuePerServing': '277'}, {'name': 'Energy (kcal)', 'valuePer100': '131', 'valuePerServing': '67'}, {'name': 'Fat (g)', 'valuePer100': '9', 'valuePerServing': '4.6'}, {'name': 'Saturates (g)', 'valuePer100': '2.5', 'valuePerServing': '1.3'}, {'name': 'Carbohydrate (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Sugars (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Fibre (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Protein (g)', 'valuePer100': '12.6', 'valuePerServing': '6.4'}, {'name': 'Salt (g)', 'valuePer100': '0.4', 'valuePerServing': '0.2'}], 'per100Header': 'Per 100g / Per 100ml', 'perServingHeader': 'A serving contains'}",Tesco Medium Free Range Eggs 6 Pack,"{'gdaRefs': [{'footers': ['of the reference intake*', 'Typical values per 100g: Energy 547kJ / 131kcal'], 'gdaDescription': 'Guideline Amounts Per Serv', 'values': [{'name': 'Energy', 'percent': '3', 'values': ['277kJ', '67kcal']}, {'name': 'Fat', 'percent': '7', 'rating': 'medium', 'values': ['4.6g']}, {'name': 'Saturates', 'percent': '7', 'rating': 'medium', 'values': ['1.3g']}, {'name': 'Salt', 'percent': '3', 'rating': 'medium', 'values': ['0.2g']}]}]}",05018374888341,"From trusted British Farms. Our freshly laid eggs come from selected farms where hens are free to roam and forage on open pastures from dawn to dusk, and are safely housed in barn overnight
Carefully selected by farmers from free roaming hens.","[{'depth': 6.9, 'dimensionUom': 'cm', 'height': 11.0, 'no': 1, 'volume': 1153.68, 'volumeUom': 'cc', 'weight': 378.0, 'weightUom': 'g', 'width': 15.2}]",[],"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '6 x Free Range Eggs', 'numberOfUnits': '6', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH', 'unitType': 'Free Range Eggs'}","['Consumer advice - to maintain freshness, keep refrigerated after purchase.']",052260983,250802613
TESCO,"{'calcNutrients': [{'name': 'Energy (kJ)', 'valuePer100': '547', 'valuePerServing': '257'}, {'name': 'Energy (kcal)', 'valuePer100': '131', 'valuePerServing': '62'}, {'name': 'Fat (g)', 'valuePer100': '9', 'valuePerServing': '4.2'}, {'name': 'Saturates (g)', 'valuePer100': '2.5', 'valuePerServing': '1.2'}, {'name': 'Carbohydrate (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Sugars (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Fibre (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Protein (g)', 'valuePer100': '12.6', 'valuePerServing': '5.9'}, {'name': 'Salt (g)', 'valuePer100': '0.4', 'valuePerServing': '0.2'}], 'per100Header': 'Per 100g / Per 100ml', 'perServingHeader': 'A serving contains'}",Tesco 15 Eggs,"{'gdaRefs': [{'footers': ['of the reference intake*', 'Typical values per 100g: Energy 547kJ / 131kcal'], 'gdaDescription': 'Guideline Amounts Per Serv', 'headers': ['One typical egg  '], 'values': [{'name': 'Energy', 'percent': '3', 'values': ['257kJ', '62kcal']}, {'name': 'Fat', 'percent': '6', 'rating': 'medium', 'values': ['4.2g']}, {'name': 'Saturates', 'percent': '6', 'rating': 'medium', 'values': ['1.2g']}, {'name': 'Salt', 'percent': '3', 'rating': 'medium', 'values': ['0.2g']}]}]}",05057545736043,"Eggs from caged hens living in carefully controlled conditions.
Class A Eggs From Caged Hens","[{'depth': 7.0, 'dimensionUom': 'cm', 'height': 15.1, 'no': 1, 'volume': 2589.65, 'volumeUom': 'cc', 'weight': 914.0, 'weightUom': 'g', 'width': 24.5}]",[],"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '15 Min Net Weight 805g', 'numberOfUnits': '15', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH'}","['To maintain freshness, keep refrigerated after purchase.']",084635662,299626009
BIG & FRESH,,Big & Fresh Mixed Sized Eggs 10 Pack,,00000050326686,,"[{'depth': 7.5, 'dimensionUom': 'cm', 'height': 11.4, 'no': 1, 'volume': 2274.3, 'volumeUom': 'cc', 'weight': 728.0, 'weightUom': 'g', 'width': 26.6}]",,"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'netContents': '660g', 'numberOfUnits': '10', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH'}",,055723702,251744530
TESCO,"{'calcNutrients': [{'name': 'Energy (kJ)', 'valuePer100': '547', 'valuePerServing': '326'}, {'name': 'Energy (kcal)', 'valuePer100': '131', 'valuePerServing': '78'}, {'name': 'Fat (g)', 'valuePer100': '9', 'valuePerServing': '5.4'}, {'name': 'Saturates (g)', 'valuePer100': '2.5', 'valuePerServing': '1.5'}, {'name': 'Carbohydrate (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Sugars (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Fibre (g)', 'valuePer100': '0', 'valuePerServing': '0'}, {'name': 'Protein (g)', 'valuePer100': '12.6', 'valuePerServing': '7.5'}, {'name': 'Salt (g)', 'valuePer100': '0.4', 'valuePerServing': '0.2'}], 'per100Header': 'Per 100g / Per 100ml', 'perServingHeader': 'A serving contains'}",Tesco Large Free Range Eggs 6 Pack,"{'gdaRefs': [{'footers': ['of the reference intake*', 'Typical values per 100g: Energy 547kJ / 131kcal'], 'gdaDescription': 'Guideline Amounts Per Serv', 'values': [{'name': 'Energy', 'percent': '4', 'values': ['326kJ', '78kcal']}, {'name': 'Fat', 'percent': '8', 'rating': 'medium', 'values': ['5.4g']}, {'name': 'Saturates', 'percent': '8', 'rating': 'medium', 'values': ['1.5g']}, {'name': 'Salt', 'percent': '3', 'rating': 'medium', 'values': ['0.2g']}]}]}",00000003036525,"From trusted British Farms. Our freshly laid eggs come from selected farms where hens are free to roam and forage on open pastures from dawn to dusk, and are safely housed in barn overnight
Carefully selected by farmers from free roaming hens.","[{'depth': 10.2, 'dimensionUom': 'cm', 'height': 6.8, 'no': 1, 'volume': 1040.4, 'volumeUom': 'cc', 'weight': 419.0, 'weightUom': 'g', 'width': 15.0}]",[],"{'containsLoperamide': False, 'healthScore': 72, 'isAnalgesic': False, 'isDrink': False, 'isFood': True, 'isHazardous': False, 'storageType': 'Ambient'}","{'drainedWeight': '-;-;-;-', 'netContents': '6 Large 63 - 72.9g;6 Large 63 - 72.9g (Shippper);12 Large 63 - 72.9g;12 Large 63 - 72.9g (Shipper)', 'numberOfUnits': '6', 'quantity': 1.0, 'quantityUom': 'SNGL', 'unitQty': 'EACH'}","['Consumer advice - to maintain freshness, keep refrigerated after purchase.']",052260948,250802567
